,Date
0,1965-11-02
1,1965-11-23
2,1965-12-14
3,1966-01-11
4,1966-02-08
5,1966-03-01
6,1966-03-22
7,1966-04-12
8,1966-05-10
9,1966-06-07
10,1966-06-28
11,1966-07-26
12,1966-08-23
13,1966-09-13
14,1966-10-04
15,1966-11-01
16,1966-11-22
17,1967-01-10
18,1967-02-07
19,1967-03-07
20,1967-04-04
21,1967-05-02
22,1967-05-23
23,1967-06-20
24,1967-07-18
25,1967-08-15
26,1967-09-12
27,1967-10-03
28,1967-10-24
29,1967-11-14
30,1967-12-12
31,1968-01-09
32,1968-02-06
33,1968-03-05
34,1968-04-02
35,1968-04-30
36,1968-05-28
37,1968-06-18
38,1968-07-16
39,1968-08-13
40,1968-09-10
41,1968-10-08
42,1968-10-29
43,1968-11-26
44,1968-12-17
45,1969-01-14
46,1969-02-04
47,1969-03-04
48,1969-04-01
49,1969-04-29
50,1969-05-27
51,1969-06-24
52,1969-07-15
53,1969-08-12
54,1969-09-09
55,1969-10-07
56,1970-05-05
57,1972-03-21
58,2001-03-20
59,2001-05-15
60,2001-06-26
61,2001-08-21
62,2001-10-02
63,2001-11-06
64,2001-12-11
65,2002-01-29
66,2002-03-19
67,2002-05-07
68,2002-06-25
69,2002-08-13
70,2002-09-24
71,2002-11-06
72,2002-12-10
73,2003-01-28
74,2003-03-18
75,2003-05-06
76,2003-06-24
77,2003-08-12
78,2003-09-16
79,2003-10-28
80,2003-12-09
81,2004-01-27
