,Date,content
8112,1991-11-05,lindsey thank mr chairman
8114,1991-11-05,lindsey thank mr chairman statement_appendix
8771,1992-05-19,lindsey think
10366,1993-03-23,lindsey thank mr chairman statement_appendix
10385,1993-03-23,lindsey oh will fill don think altern sentenc gave direct conced mean tabl polici implement use rel committe expect truli factor decis alter degre pressur reserv posit feder_fund_rate consider import cannot case today sens think insight correct next question ask okay intermedi target variabl use substitut knew suppli sure uniqu altern intermedi target play role time road think chanc possibl redefin aggreg might show worthi reassert kind role cannot can offer today
10387,1993-03-23,lindsey let minut answer_question complic answer depend lag look simpli go month midyear_think evid pretti clear got sign right around end prior year system eas got big increas money_growth succeed year inde larg effect say think distort season factor think short_run given lag quickli deposit rate adjust downward clearli effect narrow opportun cost inflow particularli liquid account answer part question confid sign near_term effect get tougher year will recal bluebook togeth simul show declin feder_fund_rate tend increas rate_growth_year time recal ask don thought reason answer paraphras question sens intermedi term_rate adjust faster respons fund_rate_declin standard quarterli model order result allow intermedi rate_come speed simul ye will increas use feinman porter model simul result got interest governor angel point meet nomin_gdp_growth respons declin fund_rate word veloc simul tend rise lower fund_rate nevertheless simul base feinman porter model extran assumpt rate react movement short rate final will tri keep short view quit differ feinman porter model view model attribut much interest_rate spread attribut therefor littl effect reduct short rate time small interest elast certain variabl embodi seem variabl work period push time eas move tend support view model fulli appreci support give eas quit rich enough captur omit variabl person answer_question ye year time appreci interest sensit
10515,1993-05-18,lindsey thank mr chairman statement_appendix
10518,1993-05-18,lindsey attempt construct plu mutual fund tri defin bond stock mutual fund compon aggreg consist pull ira keogh compon bond stock fund institut hold unfortun report year therefor interpol recent_data measur show wherea fallen plu mutual fund flat jump percent rate_growth rememb growth last_year percent growth broader measur percent
10521,1993-05-18,lindsey absolut guess bank tend knee jerk reaction maintain spread given opportun presum point spread come sure tomorrow fomc decid move fund_rate
10544,1993-05-18,lindsey problem lot thing go held everyth els equal affect borrow million big effect
10546,1993-05-18,lindsey oh good laughter approach zero near doubl digit think kind chang mayb slightli exagger
10548,1993-05-18,lindsey around current_level estim chang million borrow level will basi_point effect talk almost time much
15285,1996-11-13,lindsey thank mr chairman statement_appendix
15288,1996-11-13,lindsey will turn mike_prell answer_question forecast look nomin_gdp number quarter basi start year much chang annual growth_rate percent year percent percent actual littl deceler think though question cpi versu broader measur price someth probabl pass colleagu
